attribute,spatialite,postgis,notes
PROP_COMPLETENESS_drval2,0/116 (0.0%),0/116 (0.0%),Property completeness comparison
PROP_COMPLETENESS_dsid_dsnm,116/116 (100.0%),116/116 (100.0%),Property completeness comparison
PROP_COMPLETENESS_dsid_edtn,116/116 (100.0%),116/116 (100.0%),Property completeness comparison
PROP_COMPLETENESS_dsid_updn,116/116 (100.0%),116/116 (100.0%),Property completeness comparison
PROP_COMPLETENESS_ffpt_rind,0/116 (0.0%),0/116 (0.0%),Property completeness comparison
PROP_COMPLETENESS_fidn,116/116 (100.0%),116/116 (100.0%),Property completeness comparison
PROP_COMPLETENESS_fids,116/116 (100.0%),116/116 (100.0%),Property completeness comparison
PROP_COMPLETENESS_geometry,116/116 (100.0%),N/A,Property completeness comparison - MISMATCH
PROP_COMPLETENESS_grup,116/116 (100.0%),116/116 (100.0%),Property completeness comparison
PROP_COMPLETENESS_inform,4/116 (3.4%),4/116 (3.4%),Property completeness comparison
PROP_COMPLETENESS_lnam,116/116 (100.0%),116/116 (100.0%),Property completeness comparison
PROP_COMPLETENESS_lnam_refs,0/116 (0.0%),0/116 (0.0%),Property completeness comparison
PROP_COMPLETENESS_ninfom,0/116 (0.0%),0/116 (0.0%),Property completeness comparison
PROP_COMPLETENESS_nobjnm,0/116 (0.0%),0/116 (0.0%),Property completeness comparison
PROP_COMPLETENESS_ntxtds,0/116 (0.0%),0/116 (0.0%),Property completeness comparison
PROP_COMPLETENESS_objl,116/116 (100.0%),116/116 (100.0%),Property completeness comparison
PROP_COMPLETENESS_objnam,14/116 (12.1%),14/116 (12.1%),Property completeness comparison
PROP_COMPLETENESS_ogc_fid,116/116 (100.0%),116/116 (100.0%),Property completeness comparison
PROP_COMPLETENESS_prim,116/116 (100.0%),116/116 (100.0%),Property completeness comparison
PROP_COMPLETENESS_rcid,116/116 (100.0%),116/116 (100.0%),Property completeness comparison
PROP_COMPLETENESS_recdat,0/116 (0.0%),0/116 (0.0%),Property completeness comparison
PROP_COMPLETENESS_recind,0/116 (0.0%),0/116 (0.0%),Property completeness comparison
PROP_COMPLETENESS_rver,116/116 (100.0%),116/116 (100.0%),Property completeness comparison
PROP_COMPLETENESS_scamax,0/116 (0.0%),0/116 (0.0%),Property completeness comparison
PROP_COMPLETENESS_scamin,116/116 (100.0%),116/116 (100.0%),Property completeness comparison
PROP_COMPLETENESS_sordat,116/116 (100.0%),116/116 (100.0%),Property completeness comparison
PROP_COMPLETENESS_sorind,116/116 (100.0%),116/116 (100.0%),Property completeness comparison
PROP_COMPLETENESS_status,16/116 (13.8%),16/116 (13.8%),Property completeness comparison
PROP_COMPLETENESS_txtdsc,0/116 (0.0%),0/116 (0.0%),Property completeness comparison
PROP_COMPLETENESS_verdat,0/116 (0.0%),0/116 (0.0%),Property completeness comparison
