attribute,gpkg,postgis,notes
PROP_COMPLETENESS_sorind,202/202 (100.0%),202/202 (100.0%),Property completeness comparison
PROP_COMPLETENESS_souacc,0/202 (0.0%),0/202 (0.0%),Property completeness comparison
PROP_COMPLETENESS_status,2/202 (1.0%),2/202 (1.0%),Property completeness comparison
PROP_COMPLETENESS_tecsou,12/202 (5.9%),12/202 (5.9%),Property completeness comparison
PROP_COMPLETENESS_txtdsc,0/202 (0.0%),0/202 (0.0%),Property completeness comparison
PROP_COMPLETENESS_valsou,46/202 (22.8%),46/202 (22.8%),Property completeness comparison
PROP_COMPLETENESS_veracc,0/202 (0.0%),0/202 (0.0%),Property completeness comparison
PROP_COMPLETENESS_verdat,0/202 (0.0%),0/202 (0.0%),Property completeness comparison
PROP_COMPLETENESS_verlen,0/202 (0.0%),0/202 (0.0%),Property completeness comparison
PROP_COMPLETENESS_watlev,202/202 (100.0%),202/202 (100.0%),Property completeness comparison
