attribute,spatialite,postgis,notes
PROP_COMPLETENESS_drval1,0/92 (0.0%),0/92 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_drval2,0/92 (0.0%),0/92 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_dsid_dsnm,92/92 (100.0%),92/92 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dsid_edtn,92/92 (100.0%),92/92 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dsid_updn,92/92 (100.0%),92/92 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_ffpt_rind,0/92 (0.0%),0/92 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_fidn,92/92 (100.0%),92/92 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_fids,92/92 (100.0%),92/92 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_grup,92/92 (100.0%),92/92 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_inform,39/92 (42.4%),39/92 (42.4%),Values Match (42.4%)
PROP_COMPLETENESS_lnam,92/92 (100.0%),92/92 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_lnam_refs,0/92 (0.0%),0/92 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_ninfom,0/92 (0.0%),0/92 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_ntxtds,0/92 (0.0%),0/92 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_objl,92/92 (100.0%),92/92 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_ogc_fid,92/92 (100.0%),92/92 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_posacc,0/92 (0.0%),0/92 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_prim,92/92 (100.0%),92/92 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_rcid,92/92 (100.0%),92/92 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_recdat,0/92 (0.0%),0/92 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_recind,0/92 (0.0%),0/92 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_rver,92/92 (100.0%),92/92 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_sordat,92/92 (100.0%),92/92 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_sorind,92/92 (100.0%),92/92 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_souacc,0/92 (0.0%),0/92 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_surend,70/92 (76.1%),70/92 (76.1%),Values Match (76.1%)
PROP_COMPLETENESS_sursta,70/92 (76.1%),70/92 (76.1%),Values Match (76.1%)
PROP_COMPLETENESS_tecsou,8/92 (8.7%),8/92 (8.7%),Values Match (8.7%)
PROP_COMPLETENESS_txtdsc,30/92 (32.6%),30/92 (32.6%),Values Match (32.6%)
PROP_COMPLETENESS_verdat,0/92 (0.0%),0/92 (0.0%),Values Match (0.0%)
